customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2880-KCZOS,Male,0,No,Yes,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.53,79.49,Yes
4764-QMAJY,Male,1,Yes,Yes,48,Yes,No phone service,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),71.88,3326.27,No
1012-CERMS,Female,1,Yes,No,11,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,96.24,1144.9,No
5901-FBWON,Male,0,No,No,20,No,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),78.56,1451.52,No
7046-GKWUR,Female,0,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.48,1742.62,No
3748-ORLCP,Female,0,Yes,Yes,61,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),95.53,5682.12,No
9038-PFACA,Male,1,No,No,50,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,80.93,3858.73,No
9077-MSVFS,Male,0,Yes,Yes,62,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.88,1373.25,No
9935-FIAHC,Male,1,Yes,No,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,15.46,1169.68,Yes
1182-ZWLCU,Male,1,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),17.56,786.94,No
8966-MRQRX,Female,0,No,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.81,657.15,No
8299-FUYCM,Female,1,No,No,36,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,111.51,3990.96,No
8729-VKGRJ,Male,0,No,Yes,47,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.26,1177.83,Yes
3141-AJYFS,Male,0,No,Yes,17,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),59.53,999.49,No
1828-DVFUU,Male,1,Yes,Yes,57,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,97.54,5913.5,No
7514-SYCGK,Female,0,Yes,No,41,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,85.78,3283.0,No
6406-VZQIR,Male,0,Yes,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,26.76,747.53,No
1756-BEBBY,Female,0,No,No,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.46,943.65,No
6718-JQLMJ,Male,0,Yes,Yes,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.5,364.27,No
8479-RGZNW,Female,1,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,15.54,684.21,No
3264-ZCBHJ,Male,0,Yes,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,28.92,1434.77,No
1227-CJHST,Male,0,Yes,Yes,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.27,228.72,No
8623-HKWXL,Male,0,Yes,Yes,51,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),82.29,4521.56,No
5169-LTINS,Male,0,Yes,No,6,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),73.49,402.07,No
6673-NOTOJ,Female,1,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),79.87,2666.09,No
7863-SOXQI,Female,1,No,No,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.82,388.5,No
5404-DQVRV,Male,1,Yes,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),22.75,138.21,No
6443-WRQJE,Female,0,No,Yes,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.64,749.85,Yes
8961-DURXD,Female,0,No,Yes,7,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,105.16,755.57,Yes
1023-BDOXW,Female,0,Yes,Yes,9,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,90.93,790.4,No
3906-HTLLA,Male,1,Yes,Yes,69,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Mailed check,110.93,8169.99,No
3505-VOQYU,Female,0,No,Yes,15,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,No,Electronic check,72.36,998.6,No
3716-FIDIS,Male,1,No,Yes,63,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,100.37,6889.97,No
4100-JVIXP,Female,1,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,29.1,26.33,Yes
1134-XHECO,Male,1,Yes,No,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,16.19,246.32,No
3994-MQHFL,Female,1,Yes,Yes,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),17.57,180.95,No
7265-ACQRJ,Male,0,No,No,51,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,116.74,5651.87,No
5792-KKTRO,Female,1,No,Yes,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.45,2035.9,No
